subgroup,Y2018,AREA
All,2521871,West Yorkshire and Harrogate (Health and Care Partnership)
All,1389600,"Humber, Coast and Vale"
All,2882019,Greater Manchester Health and Social Care Partnership
All,2496557,Cheshire and Merseyside
All,1526479,South Yorkshire and Bassetlaw
All,1135935,Staffordshire and Stoke on Trent
All,502990,Shropshire and Telford and Wrekin
All,1013663,Joined Up Care Derbyshire
All,761224,Lincolnshire
All,1043665,Nottingham and Nottinghamshire Health and Care
All,1100306,"Leicester, Leicestershire and Rutland"
All,1769789,The Black Country and West Birmingham
All,787282,Birmingham and Solihull
All,949454,Coventry and Warwickshire
All,788587,Herefordshire and Worcestershire
All,706015,Northamptonshire
All,969845,Cambridgeshire and Peterborough
All,1032491,Norfolk and Waveney Health and Care Partnership
All,977887,Suffolk and North East Essex
All,944449,"Bedfordshire, Luton and Milton Keynes"
All,1432774,Hertfordshire and West Essex
All,1195348,Mid and South Essex
All,2103719,North West London Health and Care Partnership
All,1510806,North London Partners in Health and Care
All,2023383,East London Health and Care Partnership
All,1819271,Our Healthier South East London
All,1504810,South West London Health and Care Partnership
All,1860111,Kent and Medway
All,1874597,Sussex and East Surrey
All,793673,Frimley Health
All,806706,Surrey Heartlands
All,571802,Cornwall and the Isles of Scilly
All,1200739,Devon
All,562225,Somerset
All,963522,"Bristol, North Somerset and South Gloucestershire"
All,983502,"Bath and North East Somerset, Swindon and Wiltshire"
All,773839,Dorset
All,1848603,Hampshire and the Isle of Wight
All,637070,Gloucestershire
All,1115013,"Buckinghamshire, Oxfordshire and Berkshire West"
All,1743741,Healthier Lancashire and South Cumbria
All,3117630,Cumbria and North East
